id,mass_date,mass
1,2024-02-09,26
2,2024-02-09,24
3,2024-02-09,22.4
4,2024-02-09,32.5
5,2024-02-09,20.3
6,2024-02-09,23.4
7,2024-02-09,25.9
8,2024-02-09,26.6
9,2024-02-09,27.7
10,2024-02-09,25.1
11,2024-02-09,23
12,2024-02-09,25.1
13,2024-02-09,25.4
14,2024-02-09,25
15,2024-02-09,25.5
16,2024-02-09,25.3
17,2024-02-09,26.8
18,2024-02-09,25
19,2024-02-09,25.7
20,2024-02-09,23.3
21,2024-02-09,25
22,2024-02-09,24.8
23,2024-02-09,20.8
24,2024-02-09,25.4
25,2024-02-09,24
1,2024-02-16,27
2,2024-02-16,21
3,2024-02-16,22
4,2024-02-16,32
5,2024-02-16,22
6,2024-02-16,23
7,2024-02-16,26
8,2024-02-16,27
9,2024-02-16,29
10,2024-02-16,26
11,2024-02-16,23
12,2024-02-16,26
13,2024-02-16,27
14,2024-02-16,25
15,2024-02-16,24
16,2024-02-16,26
17,2024-02-16,28
18,2024-02-16,24
19,2024-02-16,26
20,2024-02-16,25
21,2024-02-16,25
22,2024-02-16,26
23,2024-02-16,23
24,2024-02-16,28
25,2024-02-16,24
1,2024-02-22,28
2,2024-02-22,23
3,2024-02-22,22
4,2024-02-22,31
5,2024-02-22,23
6,2024-02-22,24
7,2024-02-22,27
8,2024-02-22,28
9,2024-02-22,27
10,2024-02-22,26
11,2024-02-22,23
12,2024-02-22,26
13,2024-02-22,26
14,2024-02-22,25
15,2024-02-22,24
16,2024-02-22,27
17,2024-02-22,27
18,2024-02-22,26
19,2024-02-22,27
20,2024-02-22,24
21,2024-02-22,27
22,2024-02-22,25
23,2024-02-22,23
24,2024-02-22,28
25,2024-02-22,25
1,2024-03-01,27
2,2024-03-01,23
3,2024-03-01,22
4,2024-03-01,35
5,2024-03-01,23
6,2024-03-01,24
7,2024-03-01,26
8,2024-03-01,28
9,2024-03-01,28
10,2024-03-01,26
11,2024-03-01,23
12,2024-03-01,25
13,2024-03-01,25
14,2024-03-01,24
15,2024-03-01,25
16,2024-03-01,28
17,2024-03-01,28
18,2024-03-01,26
19,2024-03-01,27
20,2024-03-01,25
21,2024-03-01,26
22,2024-03-01,25
23,2024-03-01,22
24,2024-03-01,27
25,2024-03-01,25
1,2024-03-08,28
2,2024-03-08,23
3,2024-03-08,22
4,2024-03-08,32
5,2024-03-08,24
6,2024-03-08,25
7,2024-03-08,26
8,2024-03-08,28
9,2024-03-08,29
10,2024-03-08,24
11,2024-03-08,25
12,2024-03-08,26
13,2024-03-08,26
14,2024-03-08,26
15,2024-03-08,26
16,2024-03-08,30
17,2024-03-08,29
18,2024-03-08,27
19,2024-03-08,28
20,2024-03-08,25
21,2024-03-08,27
22,2024-03-08,25
23,2024-03-08,22
24,2024-03-08,27
25,2024-03-08,25
1,2024-03-15,26
2,2024-03-15,24
3,2024-03-15,23
4,2024-03-15,32
5,2024-03-15,23
6,2024-03-15,25
7,2024-03-15,28
8,2024-03-15,28
9,2024-03-15,28
10,2024-03-15,26
11,2024-03-15,23
12,2024-03-15,26
13,2024-03-15,26
14,2024-03-15,27
15,2024-03-15,27
16,2024-03-15,29
17,2024-03-15,29
18,2024-03-15,26
19,2024-03-15,28
20,2024-03-15,26
21,2024-03-15,26
22,2024-03-15,27
23,2024-03-15,22
24,2024-03-15,26
25,2024-03-15,24
1,2024-03-22,25
2,2024-03-22,25
3,2024-03-22,24
4,2024-03-22,31
5,2024-03-22,25
6,2024-03-22,25
7,2024-03-22,28
8,2024-03-22,28
9,2024-03-22,28
10,2024-03-22,26
11,2024-03-22,23
12,2024-03-22,27
13,2024-03-22,26
14,2024-03-22,27
15,2024-03-22,28
16,2024-03-22,29
17,2024-03-22,30
18,2024-03-22,26
19,2024-03-22,27
20,2024-03-22,26
21,2024-03-22,26
22,2024-03-22,27
23,2024-03-22,24
24,2024-03-22,25
25,2024-03-22,25
